,sigma,seuil_mu,seuil_kappa
0,0.1,-inf,-0.031208749292143005
1,0.2,-inf,-0.08734666119095261
2,0.30000000000000004,-inf,-0.1270903830437112
3,0.4,-inf,-0.17457260877709188
4,0.5,-inf,-0.269597843959589
5,0.6,-inf,-0.4121104692760092
6,0.7000000000000001,-inf,-0.4768230576525883
7,0.8,-inf,-0.5019600713587553
8,0.9,-inf,-0.5928682147282044
9,1.0,-inf,-0.7840475094083313
10,1.1,-inf,-0.9238315398330149
11,1.2000000000000002,-inf,-0.9678624342643075
12,1.3000000000000003,-inf,-inf
13,1.4000000000000001,-inf,-inf
14,1.5000000000000002,-inf,-inf
15,1.6,-inf,-inf
16,1.7000000000000002,-inf,-inf
17,1.8000000000000003,-inf,-inf
18,1.9000000000000001,-inf,-inf
19,2.0,-inf,-inf
20,2.1,-inf,-inf
21,2.2,-inf,-inf
22,2.3000000000000003,-inf,-inf
23,2.4000000000000004,-inf,-inf
24,2.5000000000000004,-inf,-inf
25,2.6,-inf,-inf
26,2.7,-inf,-inf
27,2.8000000000000003,-inf,-inf
28,2.9000000000000004,-inf,-inf
29,3.0000000000000004,-inf,-inf
30,3.1,-inf,-inf
31,3.2,-inf,-inf
32,3.3000000000000003,-inf,-inf
33,3.4000000000000004,-inf,-inf
34,3.5000000000000004,-inf,-inf
35,3.6,-inf,-inf
36,3.7,-inf,-inf
37,3.8000000000000003,-inf,-inf
38,3.9000000000000004,-inf,-inf
39,4.0,-inf,-inf
40,4.1,-inf,-inf
41,4.2,-inf,-inf
42,4.3,-inf,-inf
43,4.3999999999999995,-inf,-inf
44,4.5,-inf,-inf
45,4.6,-inf,-inf
46,4.7,-inf,-inf
47,4.8,-inf,-inf
48,4.9,-inf,-inf
49,5.0,-inf,-inf
50,5.1,-inf,-inf
51,5.2,-inf,-inf
52,5.3,-inf,-inf
53,5.4,-inf,-inf
54,5.5,-inf,-inf
55,5.6,-inf,-inf
56,5.7,-inf,-inf
57,5.8,-inf,-inf
58,5.9,-inf,-inf
59,6.0,-inf,-inf
60,6.1,-inf,-inf
61,6.2,-inf,-inf
62,6.3,-inf,-inf
63,6.4,-inf,-inf
64,6.5,-inf,-inf
65,6.6,-inf,-inf
66,6.7,-inf,-inf
67,6.8,-inf,-inf
68,6.9,-inf,-inf
69,7.0,-inf,-inf
70,7.1,-inf,-inf
71,7.2,-inf,-inf
72,7.3,-inf,-inf
73,7.4,-inf,-inf
74,7.5,-inf,-inf
75,7.6,-inf,-inf
76,7.7,-inf,-inf
77,7.8,-inf,-inf
78,7.9,-inf,-inf
79,8.0,-inf,-inf
80,8.1,-inf,-inf
81,8.2,-inf,-inf
82,8.3,-inf,-inf
83,8.4,-inf,-inf
84,8.5,-inf,-inf
85,8.6,-inf,-inf
86,8.7,-inf,-inf
87,8.8,-inf,-inf
88,8.9,-inf,-inf
89,9.0,-inf,-inf
90,9.1,-inf,-inf
91,9.2,-inf,-inf
92,9.3,-inf,-inf
93,9.4,-inf,-inf
94,9.5,-inf,-inf
95,9.6,-inf,-inf
96,9.700000000000001,-inf,-inf
97,9.8,-inf,-inf
98,9.9,-inf,-inf
99,10.0,-inf,-inf
